127.0.0.1 - - [08/Mar/2017:14:49:02 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:10 +0530] "GET /DataMigration/ HTTP/1.1" 200 4973
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:10 +0530] "GET /DataMigration/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:10 +0530] "GET /DataMigration/css/newcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:10 +0530] "GET /DataMigration/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:10 +0530] "GET /DataMigration/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:10 +0530] "GET /DataMigration/images/url2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:11 +0530] "GET /DataMigration/images/body.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:12 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:25 +0530] "GET /DataMigration/ HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:25 +0530] "GET /DataMigration/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:25 +0530] "GET /DataMigration/css/newcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:25 +0530] "GET /DataMigration/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:25 +0530] "GET /DataMigration/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:25 +0530] "GET /DataMigration/images/url2.png HTTP/1.1" 200 16230
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:26 +0530] "GET /DataMigration/images/body.png HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:26 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:49:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:27 +0530] "GET /DataMigration/migrate.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:27 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:32 +0530] "GET /DataMigration/connect_db2.xhtml HTTP/1.1" 200 5696
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:32 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:38 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:42 +0530] "GET /DataMigration/index.xhtml HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:42 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:55:45 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:56:06 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:56:09 +0530] "GET /DataMigration/about.xhtml HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:22 +0530] "GET /DataMigration/ HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:22 +0530] "GET /DataMigration/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:41 +0530] "GET /DataMigration/faces/migrate.xhtml HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:41 +0530] "GET /DataMigration/faces/images/url2.png HTTP/1.1" 200 16230
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:41 +0530] "GET /DataMigration/faces/css/style1.css HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:41 +0530] "GET /DataMigration/faces/css/newcss.css HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:41 +0530] "GET /DataMigration/faces/default.css HTTP/1.1" 200 13125
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:41 +0530] "GET /DataMigration/faces/fonts.css HTTP/1.1" 200 20448
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:42 +0530] "GET /DataMigration/faces/images/body.png HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:42 +0530] "GET /DataMigration/faces/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:49 +0530] "GET /DataMigration/faces/migrate.xhtml HTTP/1.1" 200 4115
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:49 +0530] "GET /DataMigration/faces/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:52 +0530] "GET /DataMigration/faces/migrate.xhtml HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:52 +0530] "GET /DataMigration/faces/images/bg01.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:54 +0530] "GET /DataMigration/faces/connect_db2.xhtml HTTP/1.1" 200 5495
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:57:56 +0530] "GET /DataMigration/faces/index.html HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration// HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration//css/style1.css HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration//fonts.css HTTP/1.1" 200 20448
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration//css/newcss.css HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration//default.css HTTP/1.1" 200 13125
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration//images/url2.png HTTP/1.1" 200 16230
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration//images/body.png HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:04 +0530] "GET /DataMigration//images/bg01.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:08 +0530] "GET /DataMigration//migrate.xhtml HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:08 +0530] "GET /DataMigration//images/bg01.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:16 +0530] "GET /DataMigration/faces/migrate.xhtml HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [08/Mar/2017:14:58:16 +0530] "GET /DataMigration/faces/images/bg01.png HTTP/1.1" 404 1052
